"pepfar_id","census_ids_contributing","total_coverage","n_census_polys","match_type","crosswalk_id","pcts_of_pepfar","pepfar_name","census_name"
1,29,0.92625854022296,1,"one-to-one","cw_25",0.92625854022296,"Phalombe District","PHALOMBE"
2,8,0.973101383938142,1,"one-to-one","cw_7",0.973101383938142,"Ntcheu District","NTCHEU"
3,9,0.989175312688518,1,"one-to-one","cw_8",0.989175312688518,"Ntchisi District","NTCHISI"
4,7,0.935323967623344,1,"one-to-one","cw_6",0.935323967623344,"Nkhotakota District","NKHOTAKOTA"
5,28,0.93559335047571,1,"one-to-one","cw_24",0.93559335047571,"Nsanje District","NSANJE"
6,27,0.950665420132202,1,"one-to-one","cw_23",0.950665420132202,"Neno District","NENO"
7,16,0.924585791206665,1,"one-to-one","cw_13",0.924585791206665,"Nkhata Bay District","NKHATA BAY"
8,12,0.863610563742055,1,"one-to-one","cw_11",0.863610563742055,"Karonga District","KARONGA"
9,3,0.977117214190559,1,"one-to-one","cw_3",0.977117214190559,"Kasungu District","KASUNGU"
10,1,0.951026345045576,1,"one-to-one","cw_1",0.951026345045576,"Dedza District","DEDZA"
11,2,0.992475399616473,1,"one-to-one","cw_2",0.992475399616473,"Dowa District","DOWA"
12,22,0.983334297997421,1,"one-to-one","cw_18",0.983334297997421,"Chiradzulu District","CHIRADZULU"
13,11,0.892196466753912,1,"one-to-one","cw_10",0.892196466753912,"Chitipa District","CHITIPA"
14,19,0.876207066634351,1,"one-to-one","cw_16",0.876207066634351,"Blantyre District","BLANTYRE"
15,21,0.978590263989902,1,"one-to-one","cw_17",0.978590263989902,"Chikwawa District","CHIKWAWA"
16,26,0.890909753138538,1,"one-to-one","cw_22",0.890909753138538,"Mwanza District","MWANZA"
17,14,0.941448097847482,1,"one-to-one","cw_12",0.941448097847482,"Mzimba District","MZIMBA"
18,6,0.959231853445379,1,"one-to-one","cw_5",0.959231853445379,"Mchinji District","MCHINJI"
19,25,0.965697910356172,1,"one-to-one","cw_21",0.965697910356172,"Mulanje District","MULANJE"
20,23,0.965445019698868,1,"one-to-one","cw_19",0.965445019698868,"Machinga District","MACHINGA"
21,24,0.938049487414909,1,"one-to-one","cw_20",0.938049487414909,"Mangochi District","MANGOCHI"
22,13,0.999999999944989,1,"partial","cw_28",0.999999999944989,"Likoma District","LIKOMA"
23,4,0.92333475150556,1,"one-to-one","cw_4",0.92333475150556,"Lilongwe District","LILONGWE"
24,17,0.879581572353383,1,"one-to-one","cw_14",0.879581572353383,"Rumphi District","RUMPHI"
25,18,0.991464593407601,1,"one-to-one","cw_15",0.991464593407601,"Balaka District","BALAKA"
26,31,0.974018134394204,2,"many-to-one","cw_27",0.961166698488455,"Zomba District","ZOMBA"
26,32,0.974018134394204,2,"many-to-one","cw_27",0.0128514359057488,"Zomba District","ZOMBA CITY"
27,30,0.976875153449285,1,"one-to-one","cw_26",0.976875153449285,"Thyolo District","THYOLO"
28,10,0.930448466171421,1,"one-to-one","cw_9",0.930448466171421,"Salima District","SALIMA"
